DATE,SCHOOL,LATLON,DEATHS
11/12/1840,"UNIVERSITY OF VIRGINIA, Charlottesville, VA","39.952152983286666, -75.19363212655512",1
11/02/1853,"Louisville, Kentucky","38.274769734771375, -85.7605828832531",1
08/16/1856,Florence. Alabama ,"34.811004695925206, -87.67457706165025",2
7/08/1858," Sabbath School gathering, Baltimore, Maryland","39.32872022760981, -76.61707378244573",1
1/21/1860,"Todd County, Kentucky","36.845128337932834, -87.16971201200234",1
2/06/1864,"Pyfer's Schoolhouse Ashland County, Ohio","40.84191416001664, -82.35871946198117",1
2/16/1867,"Knights Ferry, California ","37.82160885559881, -120.66832079412394",2
4/02/1867,"St. John's seminary, Madison. Florida","34.241928533787146, -119.00430911802873",1
1/27/1871,"Knoxville, Tennessee","36.0025864040512, -83.95396461724361",1
2/20/1874,"Agency, Montana","48.26249372853703, -109.78121130680177",1
4/09/1874,"Cumberland University, Lebannon, Tennessee","36.20543789462457, -86.299067929411",1
12/01/1881,"Santa Monica, California","34.02299372187981, -118.48521933445062",1
6/12/1887,"Cleveland, Tennessee","35.17623245261869, -84.86588426937139",1
12/27/1890,"Kable's Military Academy, Staunton, Virginia","38.19223577332195, -79.06619970954803",1
03/26/1893,"Plain Dealing High School, Plain Dealing, Louisiana","32.91000882362654, -93.69892336019396",4
12/13/1898,"Charleston, West Virginia","38.348005417101305, -81.64697938100248",6
2/24/1903,"Inman High School, Inman, South Carolina","35.05279513258755, -82.09865223773168",1
7/21/1903,"Cave Run School, Jackson, Kentucky","37.658421492664324, -83.47060183178486",2
4/6/1904,"Chicago, Illinois","41.889643277476125, -87.68805788234299",1
11/16/1904,"Indian School, Riverside, California","33.923356225409314, -117.43737414852362",2
12/16/1904,"Magee, Mississippi","31.87597865845258, -89.73339955527054",1
10/5/1905,"Hickman, Kentucky","36.56823423203033, -89.18324777848937",1
12/20/1907,"Dayton School District, Chico, California","39.74436350764095, -121.83680214833413",1
3/11/1908,"Laurens School, Boston, Massachusetts","42.40435945350549, -71.12649602966934",2
6/10/1909,"Trinidad, Colorado","37.17299692997843, -104.50166470176893",1
9/11/1909,"Bear Hollow School, McDonald County, Missouri","36.624529765605494, -94.32774139642385",1
1/12/1910,"Harlem School, New York City, New York","40.80876556009388, -73.93975963169147",1
8/16/1910,Lexington Kentucky,"38.04962775634916, -84.46199374541179",1
4/27/1911,"Manhattan, Kansas","39.19614785720843, -96.60136754408849",1
1/31/1912,"Oriental School, San Francisco, California","37.77874753901695, -122.4239754454843",1
2/16/1912,"Lagrange, New York","41.65268811052799, -73.76208099252955",1
11/19/1914,"Sayre, Pennsylvania","41.98586666995062, -76.52502113870166",1
2/3/1915,"Clear Pond School, Jasper, Florida","30.521782690121853, -82.95169856014171",1
12/26/1916,"Harris Creek School, Danville, Kentucky","38.05402952122169, -84.76426690161554",1
10/28/1917,"May Public School, Chicago, Illinois","41.877219353778656, -87.75056144761193",1
3/29/1918,"Lincoln Institute, State Negro Normal School, Jefferson City, Missouri","38.56403432689412, -92.16960703322759",1
4/6/1918,"Reeder, North Dakota","46.10795046605975, -102.94490146958901",1
5/15/1920,"Bowling Green, Ohio","41.375692419394156, -83.65100055154694",1
11/4/1920,"Middlesboro High School, Middlesboro, Kentucky","36.60916660106519, -83.7490679889212",1
2/17/1922,"Valdosta, Georgia","30.85566444021744, -83.28837469792536",2
8/1/1922," Mount Zion School, Ardmore, Oklahoma","34.169930772975356, -97.12242805027152",1
5/22/1930,"Rural Schoolhouse, Ringe, Minnesota","44.10835814762588, -92.38873737895076",1
5/28/1931,"Howard Gensen, Duluth, Minnesota ","46.851971722354776, -92.11119683105697",1
9/14/1934,"Northfield Mount Hermon School, Gill, Massachusetts","42.670636938009125, -72.48378985803538",1
6/4/1936,"Lehigh University, Bethlehem, Pennsylvania","40.60500715276652, -75.3775079734494",2
6/4/1937,"Isabel, Kansas","37.4672847167649, -98.55111271453545",1
1/24/1938,"Blencoe High School, Blencoe, Iowa","41.937265583190154, -96.08143956144707",1
5/6/1940,"South Pasadena Junior High School, South Pasadena, CA","34.108768576698765, -118.14990928872378",5
7/4/1940,"Boarding School, Valhalla, NY","41.11726798692189, -73.78033558367963",1
