DATE,SCHOOL,LATITUDE,LONGITUDE,DEATHS
11/12/1840,"University of Virginia, Charlottesville, VA",39.952153,-75.193632,1
11/02/1853,"Louisville, Kentucky",38.274770,-85.760583,1
08/16/1856,Florence. Alabama ,34.811005,-87.674577,2
7/08/1858," Sabbath School gathering, Baltimore, Maryland",39.328720,-76.617074,1
1/21/1860,"Todd County, Kentucky",36.845128,-87.169712,1
2/06/1864,"Pyfer's Schoolhouse Ashland County, Ohio",40.841914,-82.358719,1
2/16/1867,"Knights Ferry, California ",37.821609,-120.668321,2
4/02/1867,"St. John's seminary, Madison. Florida",34.241929,-119.004309,1
1/27/1871,"Knoxville, Tennessee",36.002586,-83.953965,1
2/20/1874,"Agency, Montana",48.262494,-109.781211,1
4/09/1874,"Cumberland University, Lebannon, Tennessee",36.205438,-86.299068,1
12/01/1881,"Santa Monica, California",34.022994,-118.485219,1
6/12/1887,"Cleveland, Tennessee",35.176232,-84.865884,1
12/27/1890,"Kable's Military Academy, Staunton, Virginia",38.192236,-79.066200,1
03/26/1893,"Plain Dealing High School, Plain Dealing, Louisiana",32.910009,-93.698923,4
12/13/1898,"Charleston, West Virginia",38.348005,-81.646979,6
2/24/1903,"Inman High School, Inman, South Carolina",35.052795,-82.098652,1
7/21/1903,"Cave Run School, Jackson, Kentucky",37.658421,-83.470602,2
4/6/1904,"Chicago, Illinois",41.889643,-87.688058,1
11/16/1904,"Indian School, Riverside, California",33.923356,-117.437374,2
12/16/1904,"Magee, Mississippi",31.875979,-89.733400,1
10/5/1905,"Hickman, Kentucky",36.568234,-89.183248,1
12/20/1907,"Dayton School District, Chico, California",39.744364,-121.836802,1
3/11/1908,"Laurens School, Boston, Massachusetts",42.404359,-71.126496,2
6/10/1909,"Trinidad, Colorado",37.172997,-104.501665,1
9/11/1909,"Bear Hollow School, McDonald County, Missouri",36.624530,-94.327741,1
1/12/1910,"Harlem School, New York City, New York",40.808766,-73.939760,1
8/16/1910,Lexington Kentucky,38.049628,-84.461994,1
4/27/1911,"Manhattan, Kansas",39.196148,-96.601368,1
1/31/1912,"Oriental School, San Francisco, California",37.778748,-122.423975,1
2/16/1912,"Lagrange, New York",41.652688,-73.762081,1
11/19/1914,"Sayre, Pennsylvania",41.985867,-76.525021,1
2/3/1915,"Clear Pond School, Jasper, Florida",30.521783,-82.951699,1
12/26/1916,"Harris Creek School, Danville, Kentucky",38.054030,-84.764267,1
10/28/1917,"May Public School, Chicago, Illinois",41.877219,-87.750561,1
3/29/1918,"Lincoln Institute, State Negro Normal School, Jefferson City, Missouri",38.564034,-92.169607,1
4/6/1918,"Reeder, North Dakota",46.107950,-102.944901,1
5/15/1920,"Bowling Green, Ohio",41.375692,-83.651001,1
11/4/1920,"Middlesboro High School, Middlesboro, Kentucky",36.609167,-83.749068,1
2/17/1922,"Valdosta, Georgia",30.855664,-83.288375,2
8/1/1922," Mount Zion School, Ardmore, Oklahoma",34.169931,-97.122428,1
5/22/1930,"Rural Schoolhouse, Ringe, Minnesota",44.108358,-92.388737,1
5/28/1931,"Howard Gensen, Duluth, Minnesota ",46.851972,-92.111197,1
9/14/1934,"Northfield Mount Hermon School, Gill, Massachusetts",42.670637,-72.483790,1
6/4/1936,"Lehigh University, Bethlehem, Pennsylvania",40.605007,-75.377508,2
6/4/1937,"Isabel, Kansas",37.467285,-98.551113,1
1/24/1938,"Blencoe High School, Blencoe, Iowa",41.937266,-96.081440,1
5/6/1940,"South Pasadena Junior High School, South Pasadena, CA",34.108769,-118.149909,5
7/4/1940,"Boarding School, Valhalla, NY",41.117268,-73.780336,1
10/2/1942,"William J. Gaynor Junior High School, New York City, NY",40.710076,-73.943850,1
12/23/1948,"Ramapo, NY",41.143402,-74.168221,1
11/12/1949,"Ohio State University, Columbus, OH",40.006853,-83.030412,1
11/18/1949,"DuSable High School, Chicago, Illinois",41.805016,-87.624647,1
1/24/1951,"Western Military Academy, Alton, Illinois",38.901443,-90.168915,1
